Year,Year awarded,Author(s),Novel,Publisher or publication,Ref.
1939,2014,T. H. White*,The Sword in the Stone,"William Collins, Sons",[76]
1939,2014,Edgar Rice Burroughs,Carson of Venus,Argosy,[76]
1939,2014,E. E. Smith,Galactic Patrol,Astounding Stories,[76]
1939,2014,Jack Williamson,The Legion of Time,Astounding Science-Fiction,[76]
1939,2014,C. S. Lewis,Out of the Silent Planet,The Bodley Head,[76]
1941,2016,A. E. van Vogt*,Slan,Astounding Science Fiction,[77]
1941,2016,E. E. Smith,Gray Lensman,Astounding Science Fiction,[77]
1941,2016,T. H. White,The Ill-Made Knight,"William Collins, Sons",[77]
1941,2016,Karin Boye,Kallocain,Bonnier Group,[77]
1941,2016,Jack Williamson,The Reign of Wizardry,Unknown,[77]
1943,2018,Robert A. Heinlein (as Anson MacDonald)*,Beyond This Horizon,Astounding Science Fiction,[78]
1943,2018,Olaf Stapledon,Darkness and the Light,Methuen Publishing,[78]
1943,2018,Curt Siodmak,Donovan's Brain,Black Mask,[78]
1943,2018,Austin Tappan Wright,Islandia,Farrar & Rinehart,[78]
1943,2018,E. E. Smith,Second Stage Lensmen,Astounding Science Fiction,[78]
1943,2018,Dorothy Macardle,The Uninvited,Doubleday,[78]
1944,2019,Fritz Leiber,Conjure Wife,Unknown Worlds,[75]
1944,2019,C. L. Moore,Earth's Last Citadel,Argosy,[75]
1944,2019,Henry Kuttner,Earth's Last Citadel,Argosy,[75]
1944,2019,Fritz Leiber,"Gather, Darkness!",Astounding Science-Fiction,[75]
1944,2019,Hermann Hesse,Das Glasperlenspiel (The Glass Bead Game),Fretz & Wasmuth,[75]
1944,2019,C. S. Lewis,Perelandra,"John Lane, The Bodley Head",[75]
1944,2019,A. E. van Vogt,The Weapon Makers,Astounding Science-Fiction,[75]
1946,1996,Isaac Asimov*,The Mule,Astounding Science-Fiction,[79]
1946,1996,A. E. van Vogt,The World of Null-A,Astounding Science-Fiction,[79]
1946,1996,C. S. Lewis,That Hideous Strength (also known as The Tortured Planet),John Lane,[79]
1946,1996,Fritz Leiber,Destiny Times Three,Astounding Science-Fiction,[79]
1946,1996,Edmond Hamilton (as Brett Sterling),Red Sun of Danger (also known as Danger Planet),Startling Stories,[79]
1951,2001,Robert A. Heinlein*,Farmer in the Sky,Boys' Life,[80]
1951,2001,Isaac Asimov,Pebble in the Sky,Doubleday,[80]
1951,2001,C. S. Lewis,"The Lion, the Witch and the Wardrobe",Geoffrey Bles,[80]
1951,2001,E. E. Smith,First Lensman,Fantasy Press,[80]
1951,2001,Jack Vance,The Dying Earth,Hillman Periodicals,[80]
1954,2004,Ray Bradbury*,Fahrenheit 451,Ballantine Books,[81]
1954,2004,Arthur C. Clarke,Childhood's End,Ballantine Books,[81]
1954,2004,Hal Clement,Mission of Gravity,Astounding Science-Fiction,[81]
1954,2004,Isaac Asimov,The Caves of Steel,Galaxy Science Fiction,[81]
1954,2004,Theodore Sturgeon,More Than Human,"Farrar, Straus and Giroux",[81]
